"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Brood Year YYYY","First Obs Date Max","Last Obs Date Min"
"3DD.003D748891","ICL - Lower Icicle Instream Array","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/21/2022","06/21/2022"
"3DD.003D748F5A","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/21/2022","06/21/2022"
"3DD.003D39E02B","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/20/2022","06/20/2022"
"3DD.003D39E083","RIA - Rock Island Adult","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/20/2022","06/20/2022"
"3DD.003D39FF84","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/20/2022","06/27/2022"
"3DD.003D3A0364","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/20/2022","06/20/2022"
"3DD.003D440498","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/20/2022","06/20/2022"
"3DD.003D74806D","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/20/2022","06/20/2022"
"3DD.003C068996","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/19/2022","06/28/2022"
"3DD.003D39E657","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/19/2022","06/20/2022"
"3DD.003D39F4EF","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/19/2022","06/20/2022"
"3DD.003D70E70F","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/19/2022","06/20/2022"
"3DD.003D747CD5","RIA - Rock Island Adult","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/19/2022","06/19/2022"
"3DD.003D39DEBB","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","06/22/2022"
"3DD.003D39E00D","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","07/11/2022"
"3DD.003D39E02B","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","06/18/2022"
"3DD.003D39E056","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","06/21/2022"
"3DD.003D39E083","PRA - Priest Rapids Adult","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","06/18/2022"
"3DD.003D39EA87","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","06/21/2022"
"3DD.003D39EEC0","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","06/28/2022"
"3DD.003D3A010E","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/18/2022","06/21/2022"
"3DD.003D70E70F","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/18/2022","06/18/2022"
"3DD.003D749AE0","ICL - Lower Icicle Instream Array","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/18/2022","07/05/2022"
"3D9.1C2C664F02","ICL - Lower Icicle Instream Array","4/28/2008","1","Chinook","1","Spring","H","Hatchery Reared","2006","06/17/2022","06/18/2022"
"3DD.003D39E231","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/17/2022","06/21/2022"
"3DD.003D3A027A","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/17/2022","06/17/2022"
"3DD.003D440D99","LNF - Leavenworth NFH Adult Ladder","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/17/2022","06/20/2022"
"3DD.003D74806D","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/17/2022","06/17/2022"
"3DD.003D748548","ICL - Lower Icicle Instream Array","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/17/2022","06/17/2022"
"3DD.003D39ECAB","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/16/2022","07/10/2022"
"3DD.003D3A0364","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/16/2022","06/16/2022"
